recipe_code_org,recipe_code,recipe_name_org,recipe_name,ingredient_name_org,amount_org,unit_org,food_code_org,food_name_org,food_code,food_name,amount,unit
5.1,ASC001,Hot Tea,Hot tea (Garam Chai),Milk,50,ml (to taste),L002,"Milk, whole, Cow",L002,"Milk, whole, Cow",50,ml
5.1,ASC001,Hot Tea,Hot tea (Garam Chai),Sugar,2,tsp (to taste),UK-17-063,"Sugar, white",I502,"Sugar, white",2,tsp
5.1,ASC001,Hot Tea,Hot tea (Garam Chai),Tea leaves,1.5,tsp,UK-17-165,"Tea, black, infusion, average",V510,"Tea, black, infusion, average",1.5,tsp
5.1,ASC001,Hot Tea,Hot tea (Garam Chai),Water,1.5,cups,UK-17-377,"Water, distilled",K505,"Water, distilled",1.5,C
5.2,ASC002,Instant Coffee,Instant coffee,Hot milk,75,ml (to taste),L002,"Milk, whole, Cow",L002,"Milk, whole, Cow",75,ml
5.2,ASC002,Instant Coffee,Instant coffee,Sugar,3,tsp (to taste),UK-17-063,"Sugar, white",I502,"Sugar, white",3,tsp
5.2,ASC002,Instant Coffee,Instant coffee,Instant coffee powder,1.5,tsp,UK-17-158,"Coffee, powder, instant",V502,"Coffee, powder, instant",1.5,tsp
5.2,ASC002,Instant Coffee,Instant coffee,Water,1.5,cups,UK-17-377,"Water, distilled",K505,"Water, distilled",1.5,C
5.3,ASC003,Espreso coffee,Espreso coffee,Milk,75,ml,L002,"Milk, whole, Cow",L002,"Milk, whole, Cow",75,ml
5.3,ASC003,Espreso coffee,Espreso coffee,Sugar,1.5,tsp,UK-17-063,"Sugar, white",I502,"Sugar, white",1.5,tsp
5.3,ASC003,Espreso coffee,Espreso coffee,Instant coffee powder,1,tsp,UK-17-158,"Coffee, powder, instant",V502,"Coffee, powder, instant",1,tsp
5.3,ASC003,Espreso coffee,Espreso coffee,Water,75,ml,UK-17-377,"Water, distilled",K505,"Water, distilled",75,ml
5.3,ASC003,Espreso coffee,Espreso coffee,Drinking chocolate,to sprinkle,,UK-17-498,"Drinking chocolate, powder",V504,"Drinking chocolate, powder",0.25,tsp
5.4,ASC004,Iced Tea,Iced tea,Lemon,.5,nos,UK-14-130,"Lemons, flesh only, raw, weighed with peel and pips",E520,"Lemons, flesh only, raw, weighed with peel and pips",17.5,g
5.4,ASC004,Iced Tea,Iced tea,Sugar,2,tsp (to taste),UK-17-063,"Sugar, white",I502,"Sugar, white",2,tsp
