recipe_code_org,recipe_code,recipe_name_org,recipe_name,primarysource,no_of_servings_org,no_of_servings,size_of_servings_org,size_of_servings,servings_unit_org,servings_unit,remarks_1,remarks_2
5.1,ASC001,Hot Tea,Hot tea (Garam Chai),asc_manual,2,2,1,1,tea cup,tea cup,,
5.2,ASC002,Instant Coffee,Instant coffee,asc_manual,1,1,1,1,tea cup,tea cup,,
5.3,ASC003,Espreso coffee,Espreso coffee,asc_manual,1,1,1,1,tea cup,tea cup,,
5.4,ASC004,Iced Tea,Iced tea,asc_manual,1,1,1,1,tall glass,tall glass,,
5.5,ASC005,Raw Mango Panna ,Raw mango drink (Aam panna),asc_manual,2,2,1,1,tall glass,tall glass,,
5.6,ASC006,Fruit Punch ( with fresh juices ),Fruit Punch (with fresh juices),asc_manual,2,2,1,1,tall glass,tall glass,,
5.7,ASC007,Fruit Punch ( with squashes ),Fruit Punch (with squashes),asc_manual,2,2,1,1,tall glass,tall glass,,
5.8,ASC008,Lemonade,Lemonade,asc_manual,2,2,1,1,glass,glass,,
5.8.a,ASC009,Lem-o-gin,Lem-o-gin,asc_manual,2,2,1,1,glass,glass,,
5.9,ASC010,Zeera Pani,Cumin infused water (Jeere/Zeere ka pani),asc_manual,2,2,1,1,glass,glass,,
5.1,ASC011,Coco pine cooler,Coco pine cooler,asc_manual,1,1,1,1,tall glass,tall glass,,
5.11,ASC012,Summer Cooler,Summer cooler,asc_manual,1,1,1,1,tall glass,tall glass,,
5.13,ASC014,Hot cocoa,Hot cocoa,asc_manual,1,1,1,1,tea cup,cup,,
5.14,ASC015,Cold coffee with Ice cream,Cold coffee with ice cream,asc_manual,1,1,1,1,tall glass,tall glass,,
5.15,ASC016,Banana Milkshake ,Banana milkshake (Kele milkshake),asc_manual,1,1,1,1,tall glass,tall glass,,
5.15 a,ASC017,Mango Milkshake ,Mango milkshake (Aam milkshake),asc_manual,1,1,1,1,tall glass,tall glass,,
5.15 b,ASC018,Pineapple Milkshake,Pineapple milkshake (Ananas milkshake),asc_manual,1,1,1,1,tall glass,tall glass,,
5.15 c,ASC019,Orange Milkshake ,Orange milkshake (Narangi milkshake),asc_manual,1,1,1,1,tall glass,tall glass,,
5.16,ASC020,Egg Nog,Egg nog,asc_manual,1,1,1,1,tall glass,tall glass,,
5.17,ASC021,Lassi (Sweet),Sweet Lassi (Meethi lassi),asc_manual,1,1,1,1,tall glass,tall glass,,
5.17 a,ASC022,Lassi (Salted),Lassi (salted),asc_manual,1,1,1,1,tall glass,tall glass,,
6.1,ASC023,Cheese and Chilli sandwich ,Cheese and chilli sandwich ,asc_manual,1,1,2,2,sandwiches,triangle,serving unit - changed so that it means the sandwich is cut diagonally.,
6.2,ASC024,Egg Sandwich,Egg sandwich (Ande ka sandwich),asc_manual,1,1,2,2,sandwiches,triangle,serving unit - changed so that it means the sandwich is cut diagonally.,
6.3,ASC025,Cucumber sandwich,Cucumber sandwich (Kheere ka sandwich),asc_manual,1,1,2,2,sandwiches,triangle,serving unit - changed so that it means the sandwich is cut diagonally.,
6.4,ASC026,Cheese and Pineapple sandwich,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),asc_manual,1,1,2,2,sandwiches,triangle,serving unit - changed so that it means the sandwich is cut diagonally.,
6.5,ASC027,Cheese and Tomato sandwich ,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),asc_manual,1,1,2,2,sandwiches,triangle,serving unit - changed so that it means the sandwich is cut diagonally.,
