Food items,Units,Units,Remarks,Source,,,,,,,,,
1 cup,240ml,240g,,,,,,,,,,,
8 ounce,1cup,,,,,,,,,,,,
1 ounce,30g,,,,,,,,,,,,
Spice powders,1 sprinkle/pinch,0.25 tsp,,,,,,,,,,,
,1 dash,0.25 tsp,,,,,,,,,,,
,to taste,0.5tsp,,,,,,,,,,,
Garnishing,Few drops,0.5 tsp,,,,,,,,,,,
,4 drops,1tsp,,,,,,,,,,,
,vegetables,0.25cup,,,,,,,,,,,
Greasing,2 tbsp,,,,,,,,,,,,
,,,,,,,,,,,,,
Water,1C,240ml,,,,,,,,,,,
Water,1 glass,200ml,,,,,,,,,,,
Ice cubes (water),1 cube,3tbsp,,,,,,,,,,,
Water,to bind,1tsp,,,,,,,,,,,
,to make batter,3tbsp,,,,,,,,,,,
,to make dough,3tbsp,,,,,,,,,,,
Oil,Tempering,2 tbsp,,,,,,,,,,,
,Frying,2 cups,,,,,,,,,,,
,1cup,240ml,,,,,,,,,,,
,Greasing,2 tbsp,,,,,,,,,,,
Butter,1knob,20g,,,,,,,,,,,
,1blob,15g,,,,,,,,,,,
,Greasing,2 tbsp,,,,,,,,,,,
,1tbsp,14.2g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173410/measures,,,,,,,,,
Mayonnaise,1tbsp,13.8g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171009/measures,,,,,,,,,
Milk,to bind,1tsp,,,,,,,,,,,
"Cream, fluid, light",1tbsp,15g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170857/measures,,,,,,,,,
,to make dough,1tbsp,,,,,,,,,,,
Salt,to taste,0.5tsp,,,,,,,,,,,
,1 sprinkle/pinch,0.25 tsp,,,,,,,,,,,
,,,,,,,,,,,,,
Baking powder,1 sprinkle/pinch,0.25 tsp,,,,,,,,,,,
"Vinegar, distilled",1tbsp,14.9g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172237/measures,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pepper/pepper corns,to taste,0.5tsp,,,,,,,,,,,
Pepper/pepper corns,1 corn,0.25 tsp,,,,,,,,,,,
,2 corns,0.5tsp,,,,,,,,,,,
Dry chilies,3 nos,10 g,,,,,,,,,,,
,2 nos,6.67 g,,,,,,,,,,,
,1nos,3.33g,,,,,,,,,,,
,0.5 nos,1.67g,,,,,,,,,,,
Cumin seed,1tsp,2.1g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170923/measures,,,,,,,,,
,1tbsp,6g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170923/measures,,,,,,,,,
Coriander seed,1tsp,1.8g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170922/measures,,,,,,,,,
,1tbsp,5g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170922/measures,,,,,,,,,
,,,,,,,,,,,,,
Cardamon,Cardamon powder,,,,,,,,,,,,
Cardamon powder,2nos,0.5tsp,,,,,,,,,,,
Cloves,2nos,0.5tsp,,,,,,,,,,,
,1nos,0.25tsp,,,,,,,,,,,
Cinnamon stick,1stick,0.5tsp,,,,,,,,,,,
,0.5stick,0.25tsp,,,,,,,,,,,
,2cm,2g,,,,,,,,,,,
,1inch,2.5g,,,,,,,,,,,
,0.5inch,1.25g,,,,,,,,,,,
,0.25inch,0.625g,,,,,,,,,,,
Star anise,1nos,2g,,,,,,,,,,,
Nutmeg,1 sprinkle/pinch,0.25 tsp,,,,,,,,,,,
Saffron,1 packet,0.5g,,,,,,,,,,,
,2strands,0.005g,,,,,,,,,,,
,1strands,0.0025g,,,,,,,,,,,
,few strands ,4 strands,,,,,,,,,,,
,a pinch,0.025g,,,,,,,,,,,
,1tbsp,1g,,,,,,,,,,,
Bay leaf (dry),1 no,0.4g,,,,,,,,,,,
Basil leaf,3nos,2g,,,,,,,,,,,
,5nos,3.75g,,,,,,,,,,,
Mint leaf,1nos,0.5g,,,,,,,,,,,
,6-8leaves,1sprig,,,,,,,,,,,
Mace,1blade,1g,,,,,,,,,,,
Carom seeds,Few grains,0.25 tsp,,,,,,,,,,,
Tamarind,1ball size,50g,,https://www.clovegarden.com/ingred/bp_tamaz.html,,,,,,,,,
,1nos,2g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167763/measures,,,,,,,,,
,1tbsp,10g,,https://www.aqua-calc.com/calculate/food-volume-to-weight,,,,,,,,,
Capsicum,1medium,50g,,,,,,,,,,,
Capsicum,1ring,30g,,,,,,,,,,,
Celery stalk,1stalk (small),17g,,,,,,,,,,,
,1stalk (medium),40g,,,,,,,,,,,
Onion,1 medium,60g,,,,,,,,,,,
,1 small,30g,,,,,,,,,,,
Onion juice,1 medium onion,2tbsp,,,,,,,,,,,
Shallot,1 medium,35g,,,,,,,,,,,
"Shallots, raw",1tbsp (chopped),10g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170499/measures,,,,,,,,,
Spring onions,1 no,30g,,,,,,,,,,,
