retention_factor,Retention Description,usda_rf_calcium,usda_rf_iron,usda_rf_magnesium,usda_rf_phosphorus,usda_rf_potassium,usda_rf_sodium,usda_rf_zinc,usda_rf_copper,usda_rf_vitc,usda_rf_vitb1,usda_rf_vitb2,usda_rf_vitb3,usda_rf_vitb6,usda_rf_folate_food,usda_rf_vitb9,usda_rf_folate_total,usda_rf_choline,usda_rf_vitb12,usda_rf_vita_iu,usda_rf_vita_re,usda_rf_alcohol,usda_rf_carotene_beta,usda_rf_carotene_alpha,usda_rf_cryptoxanthin,usda_rf_lycopene,usda_rf_lutein
1,"CHEESE,BAKED",100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100,100,100,100,100,100,100,100
3,"CHEESE,BROILED",100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100,100,100,100,100,100,100,100
5,"CHEESE,COOKED W/LIQUID",100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100,100,100,100,100,100,100,100
7,"CHEESE,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,95,95,100,100,100,100,100,100,100,100
101,"EGGS,BAKED",100,100,100,100,100,100,100,100,80,80,95,90,95,75,75,75,80,80,100,100,100,100,100,100,100,100
103,"EGGS,FRIED,SCRAMBLED",100,100,100,100,100,100,100,100,80,85,95,95,95,75,75,75,85,85,100,100,100,100,100,100,100,100
105,"EGGS,HARD COOKED",100,100,100,100,100,100,100,100,80,85,95,95,95,75,75,75,80,85,100,100,100,100,100,100,100,100
107,"EGGS,POACHED",100,100,100,100,100,100,100,100,80,80,85,85,85,75,75,75,80,80,100,100,100,100,100,100,100,100
109,"EGGS,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,85,95,100,100,100,100,100,100,100,100
2151,"MILK,HEATED APPROX 10MIN",100,100,100,100,100,100,100,100,85,90,100,100,90,85,85,85,90,80,100,100,100,100,100,100,100,100
2152,"MILK,HEATED APPROX 30MIN",100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100,100,100,100,100,100,100,100
2153,"MILK,HEATED APPROX 1 HOUR",100,100,100,100,100,100,100,100,45,60,100,100,55,70,70,70,60,30,100,100,100,100,100,100,100,100
2154,"MILK,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,95,95,100,100,100,100,100,100,100,100
801,"CHICKEN,BROILED",95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75,100,75,75,75,75,75
803,"CHICKEN,FRIED,WO/COATING",95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75,100,75,75,75,75,75
804,"CHICKEN,FRIED,W/COATING",95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75,100,75,75,75,75,75
805,"CHICKEN,ROASTED",95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75,100,75,75,75,75,75
851,"CHICKEN,BROWN,SIMMER,WO/DRIPPINGS",80,90,65,70,60,70,100,90,80,55,95,60,50,60,60,60,70,50,75,75,100,75,75,75,75,75
852,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",100,100,100,100,100,100,100,100,85,75,100,95,65,70,70,70,70,65,80,80,100,80,80,80,80,80
855,"CHICKEN,SIMMERED,WO/DRIPPINGS",80,90,65,70,60,70,100,90,80,55,95,60,50,60,60,60,70,50,75,75,100,75,75,75,75,75
856,"CHICKEN,SIMMERED,W/DRIPPINGS",100,100,100,100,100,100,100,100,85,75,100,95,65,70,70,70,70,65,80,80,100,80,80,80,80,80
864,"CHICKEN,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,70,95,100,100,100,100,100,100,100,100
1805,"TURKEY,ROASTED",100,95,80,80,75,75,100,70,80,65,85,90,70,60,60,60,70,65,75,75,100,75,75,75,75,75
1851,"TURKEY,SIMMERED,WO/DRIPPINGS",85,95,65,70,55,70,100,95,80,55,95,60,50,60,60,60,70,50,75,75,100,75,75,75,75,75
1852,"TURKEY,SIMMERED,W/DRIPPINGS",100,100,100,100,100,100,100,100,85,75,100,95,70,70,70,70,70,70,80,80,100,80,80,80,80,80
1860,"TURKEY,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,70,95,100,100,100,100,100,100,100,100
351,"OATMEAL,INST,COOKED",100,100,100,100,100,100,100,100,90,90,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100
352,"OATMEAL,REG/QUICK,COOKED",100,95,100,95,95,100,100,95,80,80,90,90,90,70,70,70,100,100,90,90,100,90,90,90,90,90
357,"CEREAL,INST,COOKED",100,100,100,100,100,100,100,100,90,90,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100
358,"CEREAL,REG/QUICK,COOKED",100,95,100,95,95,100,100,95,80,80,90,90,90,70,70,70,100,100,90,90,100,90,90,90,90,90
151,"FRUITS,FRESH(NOT CITRUS),BAKED",95,100,100,100,90,100,100,90,80,80,95,90,95,60,60,60,100,100,85,85,100,85,85,85,85,85
152,"FRUITS,FRESH(NOT CITRUS),BROILED",95,100,100,100,90,100,100,90,80,80,95,90,95,60,60,60,100,100,85,85,100,85,85,85,85,85
153,"FRUITS,FRESH(NOT CITRUS),SAUTEED",95,100,100,100,90,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75,75
154,"FRUITS,CANNED",95,100,100,100,90,100,100,90,50,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75,75
155,"FRUITS,FRESH(NOT CITRUS),STEWED",95,100,100,100,90,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75,75
156,"FRUITS,FROZEN",95,100,100,100,90,100,100,90,70,95,100,100,100,95,95,95,100,100,95,95,100,95,95,95,95,95
157,"FRUITS,FRESH(NOT CITRUS),REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,100,95,95,95,100,100,95,95,100,95,95,95,95,95
158,"FRUITS,DRIED",100,100,100,100,100,100,100,100,20,70,90,90,90,50,50,50,100,100,50,50,100,50,50,50,50,50
251,"FRUITS(DRIED),BAKED",95,100,100,100,90,100,100,90,80,80,95,90,95,60,60,60,100,100,85,85,100,85,85,85,85,85
253,"FRUITS(DRIED),SAUTEED",95,100,100,100,90,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75,75
255,"FRUITS(DRIED),STEWED",95,100,100,100,90,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75,75
