Food Names,Food Code,Link
Woodapple juice (Bel ka sharbat),OSR001,https://www.betterbutter.in/recipe/32734/wood-apple-bael-juice/ 
Sattu drink,OSR002,https://www.vegrecipesofindia.com/sattu-drink-recipe-sattu-sharbat/ 
Apple and honey sorbet (Seb aur shehad ka sharbat),OSR004,https://www.allrecipes.com/recipe/76202/apple-and-honey-sorbet/ 
Thandai,OSR005, https://www.indianhealthyrecipes.com/thandai/ 
Cucumber sharbat (Kheere ka sharbat),OSR006, https://www.recipemasters.in/recipe/cucumber-sharbat/ 
Apple oats chia seed smoothie,OSR007, https://food.ndtv.com/recipe-apple-oats-chia-seeds-smoothie-958104 
Nannari sharbat,OSR008, https://www.sharmispassions.com/nannari-sarbath-recipe-homemade-nannari-syrup/ 
Semolina milk drink (Thari kanji),OSR009, https://mildlyindian.com/malabar-cuisine-thari-kanji-iftar-semolina-pudding/ 
Saffron milk (Kesariya doodh),OSR010,https://food.ndtv.com/recipe-kesaria-doodh-219040 
Black rice kheer (Chak-hao kheer),OSR011,https://www.betterbutter.in/recipe/9959/chak-hao-kheer-black-rice-pudding 
Coconut kheer (Nariyal ki kheer),OSR012, https://recipes.timesofindia.com/recipes/coconut-kheer/rs93045461.cms 
Apple sago payasam (Seb aur sabudana ki kheer),OSR013, https://recipes.timesofindia.com/recipes/apple-sago-payasam/rs78894503.cms 
Kesari bath,OSR014, https://recipes.timesofindia.com/recipes/kesari-bath/rs86602312.cms 
Putharekulu,OSR015, https://recipes.timesofindia.com/recipes/putharekulu/rs80173979.cms 
Mango malpua,OSR016, https://recipes.timesofindia.com/recipes/mango-malpua/rs60305426.cms 
Mango vanilla custard,OSR017, https://recipes.timesofindia.com/recipes/mango-vanilla-custard-verrines-with-nuts-and-dark-chocolate/rs59298301.cms 
Kiwi granola pudding,OSR018, https://recipes.timesofindia.com/recipes/kiwi-granola-pudding/rs89240126.cms 
Oats burfi,OSR019, https://recipes.timesofindia.com/recipes/oats-burfi/rs61132543.cms 
Lotus seed halwa (Kamal gattay ka halwa),OSR020, https://recipes.timesofindia.com/recipes/lotus-seeds-halwa/rs70871433.cms 
Amaranth ladoo (Rajgira ladoo),OSR021, https://www.easymommylife.com/amaranth-ladoo-recipe-rajgira-ladoo-for-kids/ 
Chhena poda,OSR022, https://www.vegrecipesofindia.com/chhena-poda-recipe/ 
Sweet couscous dessert,OSR023, https://recipes.timesofindia.com/recipes/sweet-couscous-dessert/rs52519610.cms 
Sweetened yogurt (Shrikhand),OSR024, https://www.vegrecipesofindia.com/shrikhand-recipe/ 
Thickened sweetened milk (Rabri),OSR025, https://hebbarskitchen.com/rabri-recipe-rabdi-recipe-malpua-rabdi/ 
Gram flour halwa (Besan halwa),OSR026, https://hebbarskitchen.com/besan-halwa-recipe-besan-ka-halwa/#Ingredients 
Prawn sandwich,OSR027, https://recipes.timesofindia.com/recipes/prawn-sandwich/rs58047071.cms 
Watercress sandwich,OSR028, https://recipes.timesofindia.com/recipes/watercress-sandwich/rs59736382.cms 
Fish sandwich,OSR029, https://recipes.timesofindia.com/recipes/fish-sandwich/rs62348886.cms 
Kidney bean sandwich with cottage cheese,OSR030, https://recipes.timesofindia.com/recipes/kidney-beans-sandwich-with-cottage-cheese/rs60058471.cms 
Finger millet biscuits (Ragi biscuits),OSR031, https://recipes.timesofindia.com/recipes/ragi-biscuits/rs59488910.cms 
Buttermilk biscuits,OSR032, https://recipes.timesofindia.com/recipes/buttermilk-biscuits-by-nisha-madhulika/rs59270695.cms 
Lemon cookies,OSR033, https://recipes.timesofindia.com/recipes/lemon-cookies/rs60763779.cms 
Sweet potato biscuits (Shakarkand ke biscuits),OSR034, https://recipes.timesofindia.com/recipes/sweet-potato-biscuits/rs52431058.cms 
Raspberry shortbread cookies,OSR035, https://www.yourhomebasedmom.com/raspberry-shortbread-cookies/ 
Pumpkin cookies,OSR036, https://recipes.timesofindia.com/recipes/pumpkin-cookies/rs60440658.cms 
Greenpea cookies,OSR037, https://recipes.timesofindia.com/recipes/green-pea-cookies/rs53784898.cms 
Sunflower cookies,OSR038, https://recipes.timesofindia.com/recipes/sunflower-cookies/rs59031996.cms 
Cardamom cookies (Elaichi cookies),OSR039, https://recipes.timesofindia.com/recipes/cardamom-cookies/rs59286727.cms 
Hazelnut cookies,OSR040, https://recipes.timesofindia.com/recipes/hazelnuts-cookie/rs59544107.cms 
Milk cookies,OSR041, https://recipes.timesofindia.com/recipes/milk-cookies/rs60085694.cms
Cranberry cookies,OSR042, https://recipes.timesofindia.com/recipes/cranberry-cookies/rs59846973.cms 
Olive biscuits,OSR043, https://recipes.timesofindia.com/recipes/olive-biscuits/rs60883358.cms 
Tutti fruitti biscuits,OSR045, https://recipes.timesofindia.com/recipes/tutti-frutti-biscuits/rs52700915.cms 
Peach blueberry preserves,OSR046, https://www.tasteofhome.com/recipes/peach-blueberry-preserves/ 
Pear preserves (Naashpati ka murabba),OSR047, https://www.tasteofhome.com/recipes/pear-preserves/ 
Starfruit preserves,OSR048, https://www.bawarchi.com/recipe/star-fruit-preserve-oerttbfehehji.html 
Gooseberry pickle (Amla ka achaar),OSR049, https://recipes.timesofindia.com/recipes/gooseberry-pickle/rs63380277.cms 
Lotus stem pickle (Kamal kakdi ka achar),OSR050, https://recipes.timesofindia.com/recipes/lotus-stem-pickle/rs58458656.cms 
Date pickle (Khajoor ka achaar),OSR051, https://recipes.timesofindia.com/recipes/date-pickle/rs58458049.cms 
Garlic pickle (Lahasun ka achar),OSR052, https://recipes.timesofindia.com/recipes/garlic-pickle/rs58413147.cms 
